Departamento,Municipio,Latitud,Longitud,Geolocalizacion,Operadora,Contrato,Campo,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),ECOPETROL S.A.,AREA TECA-COCORNA,TECA-COCORNA,0.1463,0.1599,0.1895,0.1838,0.1768,0.1703,0.1467,0.1479,,,,
ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),MANSAROVAR ENERGY COLOMBIA LTD,NARE SUR,NARE,0.0212,0.0304,0.0447,0.0452,0.048,0.0341,0.0319,0.0373,,,,
ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),MANSAROVAR ENERGY COLOMBIA LTD,UNDERRIVER,NARE,0.1238,0.1518,0.1602,0.1603,0.122,0.0789,0.12,0.1256,,,,
ANTIOQUIA,PUERTO TRIUNFO,5.954830151,-74.6861918,POINT (-74.6861918 5.954830151),ECOPETROL S.A.,AREA TECA-COCORNA,TECA-COCORNA,0.0541,0.0591,0.0701,0.068,0.0654,0.063,0.0542,0.0547,,,,
ANTIOQUIA,YONDO,6.925159318,-74.15824041,POINT (-74.15824041 6.925159318),ECOPETROL S.A.,CASABE,MAGDALENA MEDIO-CASABE,0.4408,0.4857,0.7171,0.6662,0.628,0.6106,0.5573,0.6077,,,,
ANTIOQUIA,YONDO,6.925159318,-74.15824041,POINT (-74.15824041 6.925159318),ECOPETROL S.A.,CASABE SUR,MAGDALENA MEDIO-CASABE,0.6601,0.7656,0.7339,0.7147,0.7081,0.6573,0.686,0.7668,,,,
ANTIOQUIA,YONDO,6.925159318,-74.15824041,POINT (-74.15824041 6.925159318),ECOPETROL S.A.,PEÑAS BLANCAS,MAGDALENA MEDIO-CASABE,0.0922,0.1346,0.0724,0.0955,0.0773,0.1173,0.0995,0.0708,,,,
ARAUCA,ARAUCA,6.796280825,-70.50921153,POINT (-70.50921153 6.796280825),SIERRACOL ENERGY ARAUCA LLC,CAÑO LIMÓN,CRAVO NORTE,1.2042,1.2025,1.2119,1.2242,1.2059,1.2618,0.9716,1.1951,,,,
ARAUCA,ARAUCA,6.796280825,-70.50921153,POINT (-70.50921153 6.796280825),SIERRACOL ENERGY ARAUCA LLC,CAÑO YARUMAL,CRAVO NORTE,0.1372,0.1291,0.1273,0.1326,0.1348,0.1255,0.0823,0.1436,,,,
ARAUCA,ARAUCA,6.796280825,-70.50921153,POINT (-70.50921153 6.796280825),SIERRACOL ENERGY ARAUCA LLC,CHIPIRÓN,CHIPIRÓN,0.3729,0.3877,0.447,0.4651,0.4892,0.6022,0.5387,0.5445,,,,
ARAUCA,ARAUCA,6.796280825,-70.50921153,POINT (-70.50921153 6.796280825),SIERRACOL ENERGY ARAUCA LLC,GALEMBO,CHIPIRÓN,0.0049,0.0052,0.0051,0.0059,0.0062,0.0074,0.006,0.0063,,,,
ARAUCA,ARAUCA,6.796280825,-70.50921153,POINT (-70.50921153 6.796280825),SIERRACOL ENERGY ARAUCA LLC,MACANA,CHIPIRÓN,0.0071,0.0046,0.0174,0.0215,0.0177,0.0217,0.0193,0.0117,,,,
ARAUCA,ARAUQUITA,6.799338394,-71.29827429,POINT (-71.29827429 6.799338394),SIERRACOL ENERGY ARAUCA LLC,ARAGUATO,CHIPIRÓN,0.0055,0.0056,0.0053,0.0053,0.0052,0.0065,0.0062,0.0066,,,,
ARAUCA,ARAUQUITA,6.799338394,-71.29827429,POINT (-71.29827429 6.799338394),SIERRACOL ENERGY ARAUCA LLC,BAYONERO,CHIPIRÓN,0.0323,0.0322,0.0266,0.0262,0.0249,0.0286,0.0272,0.0239,,,,
ARAUCA,ARAUQUITA,6.799338394,-71.29827429,POINT (-71.29827429 6.799338394),SIERRACOL ENERGY ARAUCA LLC,CANAGUEY,COSECHA,0.1858,0.1349,0.1683,0.1818,0.1727,0.1824,0.1551,0.1757,,,,
ARAUCA,ARAUQUITA,6.799338394,-71.29827429,POINT (-71.29827429 6.799338394),SIERRACOL ENERGY ARAUCA LLC,CAÑO LIMÓN,CRAVO NORTE,0.0991,0.1005,0.0955,0.0917,0.0938,0.1151,0.1063,0.0994,,,,
ARAUCA,ARAUQUITA,6.799338394,-71.29827429,POINT (-71.29827429 6.799338394),SIERRACOL ENERGY ARAUCA LLC,CAÑO RONDÓN,RONDÓN,0.3755,0.4399,0.4811,0.4404,0.4423,0.4865,0.3496,0.4869,,,,
ARAUCA,ARAUQUITA,6.799338394,-71.29827429,POINT (-71.29827429 6.799338394),SIERRACOL ENERGY ARAUCA LLC,CARICARE,RONDÓN,1.363,1.3542,1.2894,1.1973,1.1193,1.2972,1.0351,1.257,,,,
